ISIN;CH0049613687;;;CH0049613901;CH0100517157;CH0100484986
SYMBOL;SARON;;;SCRON;SAION;SCION
NAME;Swiss Average Rate ON;;;Swiss Current Rate ON;SARON Index;Swiss Current Index ON
Date;Close;Fixing 12:00;Fixing 16:00;Close;Close;Close;Rate Volume;Trade Volume
12.10.2023; 1.699913; 1.705103; 1.703954; 1.660000; 10878.290828; 10840.914928; 17143880954; 12856000000
11.10.2023; 1.700226; 1.703244; 1.703079; 1.690000; 10877.777087; 10840.406031; 17636333334; 12457000000
10.10.2023; 1.700341; 1.704346; 1.703760; 1.700000; 10877.263335; 10839.894147; 17410940477; 13390000000
09.10.2023; 1.698884; 1.704162; 1.701865; 1.692500; 10876.750048; 10839.384545; 23239669047; 18398000000
06.10.2023; 1.700914; 1.705302; 1.703637; 1.660000; 10875.208565; 10837.885304; 22622023809; 15399000000
05.10.2023; 1.700216; 1.705198; 1.703008; 1.690000; 10874.694972; 10837.376549; 22769397621; 17103000000
04.10.2023; 1.699385; 1.706108; 1.704327; 1.690000; 10874.181655; 10836.867818; 22085500001; 18830000000
03.10.2023; 1.701815; 1.707332; 1.705460; 1.690000; 10873.667628; 10836.359111; 20860785718; 16695000000
02.10.2023; 1.704915; 1.710214; 1.708867; 1.690000; 10873.152689; 10835.850428; 18336952384; 12211000000
29.09.2023; 1.714893; 1.721429; 1.720632; 1.690000; 10871.599053; 10834.324594; 17682323809; 10899000000
28.09.2023; 1.706153; 1.708293; 1.708909; 1.690000; 10871.083838; 10833.816007; 16495902383; 11715000000
27.09.2023; 1.701741; 1.706961; 1.706527; 1.690000; 10870.569980; 10833.307443; 18352488096; 13186000000
26.09.2023; 1.702164; 1.707070; 1.706128; 1.690000; 10870.056018; 10832.798903; 17857904761; 14572000000
25.09.2023; 1.701860; 1.704223; 1.704215; 1.690000; 10869.542172; 10832.290387; 21408940478; 17446000000
22.09.2023; 1.700475; 1.705997; 1.703905; 1.690000; 10868.002108; 10830.765054; 21418714288; 16868000000
21.09.2023; 1.701338; 1.706687; 1.703399; 1.700000; 10867.488517; 10830.253625; 19960476190; 15976000000
20.09.2023; 1.700375; 1.704616; 1.703481; 1.660000; 10866.975241; 10829.754253; 19171930954; 14811000000
19.09.2023; 1.702976; 1.709391; 1.706766; 1.690000; 10866.461204; 10829.245880; 18822166669; 15141000000
18.09.2023; 1.701675; 1.707028; 1.704776; 1.660000; 10865.947584; 10828.746554; 18209642858; 13719000000
15.09.2023; 1.700567; 1.705119; 1.704532; 1.690000; 10864.407946; 10827.221720; 16178916667; 12877000000
14.09.2023; 1.700734; 1.707565; 1.703532; 1.660000; 10863.894707; 10826.722488; 17992204764; 14199000000
13.09.2023; 1.706890; 1.715342; 1.711506; 1.690000; 10863.379635; 10826.214257; 16173166668; 12269000000
12.09.2023; 1.706555; 1.715668; 1.712858; 1.660000; 10862.864688; 10825.715071; 16929553571; 12571000000
11.09.2023; 1.708816; 1.716179; 1.713157; 1.690000; 10862.349084; 10825.206888; 16298361113; 12175000000
08.09.2023; 1.706236; 1.716538; 1.713109; 1.660000; 10860.804826; 10823.709608; 16154914284; 12051000000
07.09.2023; 1.705561; 1.715232; 1.714896; 1.690000; 10860.290301; 10823.201519; 15830076193; 11814000000
