startDate,endDate,value
2022-01-03,2022-05-23,-0.7074
2022-01-03,2022-05-24,-0.7074
2022-01-03,2022-05-25,-0.7074
2022-01-03,2022-05-26,-0.7074
2022-01-03,2022-05-27,-0.7074
2022-01-03,2022-05-28,-0.7074
2022-01-03,2022-05-29,-0.7074
2022-01-03,2022-05-30,-0.7074
2022-01-03,2022-05-31,-0.7074
2022-01-03,2022-06-01,-0.7073
2022-01-03,2022-06-02,-0.7073
2022-01-03,2022-06-03,-0.7072
2022-01-03,2022-06-04,-0.7072
2022-01-03,2022-06-05,-0.7072
2022-01-03,2022-06-06,-0.7072
2022-01-03,2022-06-07,-0.7072
2022-01-03,2022-06-08,-0.7072
2022-01-03,2022-06-09,-0.7072
2022-01-03,2022-06-10,-0.7072
2022-01-03,2022-06-11,-0.7072
2022-01-03,2022-06-12,-0.7072
2022-01-03,2022-06-13,-0.7072
2022-01-03,2022-06-14,-0.7072
2022-01-03,2022-06-15,-0.7071
2022-01-03,2022-06-16,-0.7071
2022-01-03,2022-06-17,-0.7058
2022-01-03,2022-06-18,-0.7028
2022-01-03,2022-06-19,-0.6998
2022-01-03,2022-06-20,-0.6969
2022-01-03,2022-06-21,-0.6940
2022-01-03,2022-06-22,-0.6912
2022-01-03,2022-06-23,-0.6883
2022-01-03,2022-06-24,-0.6854
2022-01-03,2022-06-25,-0.6826
2022-01-03,2022-06-26,-0.6798
2022-01-03,2022-06-27,-0.6771
2022-01-03,2022-06-28,-0.6744
2022-01-03,2022-06-29,-0.6717
2022-01-03,2022-06-30,-0.6690
2022-01-03,2022-07-01,-0.6664
2022-01-03,2022-07-02,-0.6638
2022-01-03,2022-07-03,-0.6613
2022-01-03,2022-07-04,-0.6588
2022-01-03,2022-07-05,-0.6563
2022-01-03,2022-07-06,-0.6539
2022-01-03,2022-07-07,-0.6515
2022-01-03,2022-07-08,-0.6491
2022-01-03,2022-07-09,-0.6468
2022-01-03,2022-07-10,-0.6445
2022-01-03,2022-07-11,-0.6422
2022-01-03,2022-07-12,-0.6399
2022-01-03,2022-07-13,-0.6376
2022-01-03,2022-07-14,-0.6354
2022-01-03,2022-07-15,-0.6332
2022-01-03,2022-07-16,-0.6310
2022-01-03,2022-07-17,-0.6288
2022-01-03,2022-07-18,-0.6267
2022-01-03,2022-07-19,-0.6246
2022-01-03,2022-07-20,-0.6225
2022-01-03,2022-07-21,-0.6204
2022-01-03,2022-07-22,-0.6184
2022-01-03,2022-07-23,-0.6163
2022-01-04,2022-01-05,-0.7042
2022-01-04,2022-01-06,-0.7064
2022-01-04,2022-01-07,-0.7074
2022-01-04,2022-01-08,-0.7074
2022-01-04,2022-01-09,-0.7075
2022-01-04,2022-01-10,-0.7075
2022-01-04,2022-01-11,-0.7078
2022-01-04,2022-01-12,-0.7081
2022-01-04,2022-01-13,-0.7082
2022-01-04,2022-01-14,-0.7082
2022-01-04,2022-01-15,-0.7083
2022-01-04,2022-01-16,-0.7084
2022-01-04,2022-01-17,-0.7084
2022-01-04,2022-01-18,-0.7086
2022-01-04,2022-01-19,-0.7088
2022-01-04,2022-01-20,-0.7090
2022-01-04,2022-01-21,-0.7092
2022-01-04,2022-01-22,-0.7094
2022-01-04,2022-01-23,-0.7096
2022-01-04,2022-01-24,-0.7097
2022-01-04,2022-01-25,-0.7098
2022-01-04,2022-01-26,-0.7100
2022-01-04,2022-01-27,-0.7101
2022-01-04,2022-01-28,-0.7101
2022-01-04,2022-01-29,-0.7102
2022-01-04,2022-01-30,-0.7103
2022-01-04,2022-01-31,-0.7103
2022-01-04,2022-02-01,-0.7098
2022-01-04,2022-02-02,-0.7098
2022-01-04,2022-02-03,-0.7099
2022-01-04,2022-02-04,-0.7099
2022-01-04,2022-02-05,-0.7100
2022-01-04,2022-02-06,-0.7101
2022-01-04,2022-02-07,-0.7102
2022-01-04,2022-02-08,-0.7103
2022-01-04,2022-02-09,-0.7104
2022-01-04,2022-02-10,-0.7105
2022-01-04,2022-02-11,-0.7106
2022-01-04,2022-02-12,-0.7108
2022-01-04,2022-02-13,-0.7109
2022-01-04,2022-02-14,-0.7110
2022-01-04,2022-02-15,-0.7110
2022-01-04,2022-02-16,-0.7112
2022-01-04,2022-02-17,-0.7113
2022-01-04,2022-02-18,-0.7113
2022-01-04,2022-02-19,-0.7114
2022-01-04,2022-02-20,-0.7115
2022-01-04,2022-02-21,-0.7116
2022-01-04,2022-02-22,-0.7117
2022-01-04,2022-02-23,-0.7118
2022-01-04,2022-02-24,-0.7119
2022-01-04,2022-02-25,-0.7120
2022-01-04,2022-02-26,-0.7121
2022-01-04,2022-02-27,-0.7121
2022-01-04,2022-02-28,-0.7122
2022-01-04,2022-03-01,-0.7119
2022-01-04,2022-03-02,-0.7119
2022-01-04,2022-03-03,-0.7120
2022-01-04,2022-03-04,-0.7121
2022-01-04,2022-03-05,-0.7121
2022-01-04,2022-03-06,-0.7122
2022-01-04,2022-03-07,-0.7122
2022-01-04,2022-03-08,-0.7123
2022-01-04,2022-03-09,-0.7123
2022-01-04,2022-03-10,-0.7123
2022-01-04,2022-03-11,-0.7121
2022-01-04,2022-03-12,-0.7121
2022-01-04,2022-03-13,-0.7120
2022-01-04,2022-03-14,-0.7119
2022-01-04,2022-03-15,-0.7117
2022-01-04,2022-03-16,-0.7115
2022-01-04,2022-03-17,-0.7112
2022-01-04,2022-03-18,-0.7108
2022-01-04,2022-03-19,-0.7104
2022-01-04,2022-03-20,-0.7101
2022-01-04,2022-03-21,-0.7098
2022-01-04,2022-03-22,-0.7096
2022-01-04,2022-03-23,-0.7093
2022-01-04,2022-03-24,-0.7091
2022-01-04,2022-03-25,-0.7089
2022-01-04,2022-03-26,-0.7088
2022-01-04,2022-03-27,-0.7087
2022-01-04,2022-03-28,-0.7086
2022-01-04,2022-03-29,-0.7085
2022-01-04,2022-03-30,-0.7084
2022-01-04,2022-03-31,-0.7083
2022-01-04,2022-04-01,-0.7082
2022-01-04,2022-04-02,-0.7081
2022-01-04,2022-04-03,-0.7081
2022-01-04,2022-04-04,-0.7080
2022-01-04,2022-04-05,-0.7080
2022-01-04,2022-04-06,-0.7080
2022-01-04,2022-04-07,-0.7079
2022-01-04,2022-04-08,-0.7079
2022-01-04,2022-04-09,-0.7079
2022-01-04,2022-04-10,-0.7079
2022-01-04,2022-04-11,-0.7079
2022-01-04,2022-04-12,-0.7079
2022-01-04,2022-04-13,-0.7079
2022-01-04,2022-04-14,-0.7079
2022-01-04,2022-04-15,-0.7079
2022-01-04,2022-04-16,-0.7079
2022-01-04,2022-04-17,-0.7079
2022-01-04,2022-04-18,-0.7079
2022-01-04,2022-04-19,-0.7079
2022-01-04,2022-04-20,-0.7079
2022-01-04,2022-04-21,-0.7079
2022-01-04,2022-04-22,-0.7079
2022-01-04,2022-04-23,-0.7079
2022-01-04,2022-04-24,-0.7079
2022-01-04,2022-04-25,-0.7078
2022-01-04,2022-04-26,-0.7078
2022-01-04,2022-04-27,-0.7078
2022-01-04,2022-04-28,-0.7078
2022-01-04,2022-04-29,-0.7078
2022-01-04,2022-04-30,-0.7077
2022-01-04,2022-05-01,-0.7077
2022-01-04,2022-05-02,-0.7076
2022-01-04,2022-05-03,-0.7075
2022-01-04,2022-05-04,-0.7075
2022-01-04,2022-05-05,-0.7075
2022-01-04,2022-05-06,-0.7074
2022-01-04,2022-05-07,-0.7074
2022-01-04,2022-05-08,-0.7074
2022-01-04,2022-05-09,-0.7074
2022-01-04,2022-05-10,-0.7074
2022-01-04,2022-05-11,-0.7074
2022-01-04,2022-05-12,-0.7074
2022-01-04,2022-05-13,-0.7074
2022-01-04,2022-05-14,-0.7074
2022-01-04,2022-05-15,-0.7074
2022-01-04,2022-05-16,-0.7074
2022-01-04,2022-05-17,-0.7074
2022-01-04,2022-05-18,-0.7074
2022-01-04,2022-05-19,-0.7074
2022-01-04,2022-05-20,-0.7074
2022-01-04,2022-05-21,-0.7074
2022-01-04,2022-05-22,-0.7074
2022-01-04,2022-05-23,-0.7074
2022-01-04,2022-05-24,-0.7074
2022-01-04,2022-05-25,-0.7074
2022-01-04,2022-05-26,-0.7074
2022-01-04,2022-05-27,-0.7074
2022-01-04,2022-05-28,-0.7074
2022-01-04,2022-05-29,-0.7074
2022-01-04,2022-05-30,-0.7074
2022-01-04,2022-05-31,-0.7074
2022-01-04,2022-06-01,-0.7073
2022-01-04,2022-06-02,-0.7073
2022-01-04,2022-06-03,-0.7073
2022-01-04,2022-06-04,-0.7073
2022-01-04,2022-06-05,-0.7073
2022-01-04,2022-06-06,-0.7073
2022-01-04,2022-06-07,-0.7073
2022-01-04,2022-06-08,-0.7073
2022-01-04,2022-06-09,-0.7073
2022-01-04,2022-06-10,-0.7073
2022-01-04,2022-06-11,-0.7072
2022-01-04,2022-06-12,-0.7072
2022-01-04,2022-06-13,-0.7072
2022-01-04,2022-06-14,-0.7072
2022-01-04,2022-06-15,-0.7072
2022-01-04,2022-06-16,-0.7071
2022-01-04,2022-06-17,-0.7058
2022-01-04,2022-06-18,-0.7028
2022-01-04,2022-06-19,-0.6998
2022-01-04,2022-06-20,-0.6969
2022-01-04,2022-06-21,-0.6940
2022-01-04,2022-06-22,-0.6911
2022-01-04,2022-06-23,-0.6882
2022-01-04,2022-06-24,-0.6853
2022-01-04,2022-06-25,-0.6825
2022-01-04,2022-06-26,-0.6797
2022-01-04,2022-06-27,-0.6770
2022-01-04,2022-06-28,-0.6743
2022-01-04,2022-06-29,-0.6715
2022-01-04,2022-06-30,-0.6689
2022-01-04,2022-07-01,-0.6662
2022-01-04,2022-07-02,-0.6636
2022-01-04,2022-07-03,-0.6611
2022-01-04,2022-07-04,-0.6586
2022-01-04,2022-07-05,-0.6561
2022-01-04,2022-07-06,-0.6536
2022-01-04,2022-07-07,-0.6512
2022-01-04,2022-07-08,-0.6488
2022-01-04,2022-07-09,-0.6465
2022-01-04,2022-07-10,-0.6442
2022-01-04,2022-07-11,-0.6419
2022-01-04,2022-07-12,-0.6396
2022-01-04,2022-07-13,-0.6373
2022-01-04,2022-07-14,-0.6351
2022-01-04,2022-07-15,-0.6328
2022-01-04,2022-07-16,-0.6306
2022-01-04,2022-07-17,-0.6285
2022-01-04,2022-07-18,-0.6263
2022-01-04,2022-07-19,-0.6242
2022-01-04,2022-07-20,-0.6221
2022-01-04,2022-07-21,-0.6200
2022-01-04,2022-07-22,-0.6180
2022-01-04,2022-07-23,-0.6159
2022-01-05,2022-01-06,-0.7087
