date	rate
2022-12-02	0.458407
2022-12-05	0.456258
2022-12-06	0.457149
2022-12-07	0.456799
2022-12-08	0.460195
2022-12-09	0.461501
2022-12-12	0.459335
2022-12-13	0.453391
2022-12-14	0.453386
2022-12-15	0.451261
2022-12-16	0.938534
2022-12-19	0.937030
2022-12-20	0.943006
2022-12-21	0.948754
2022-12-22	0.950917
2022-12-23	0.956236
2022-12-27	0.936676
2022-12-28	0.939876
2022-12-29	0.935247
2022-12-30	0.942118
2023-01-03	0.950925
2023-01-04	0.946407
2023-01-05	0.947037
2023-01-06	0.945700
2023-01-09	0.946529
2023-01-10	0.945695
2023-01-11	0.935692
2023-01-12	0.930891
2023-01-13	0.931384
2023-01-16	0.939932
2023-01-17	0.936423
2023-01-18	0.937781
2023-01-19	0.937000
2023-01-20	0.937331
2023-01-23	0.939358
2023-01-24	0.939101
2023-01-25	0.945416
