date	rate
2000-07-13	3.140827
2000-07-14	3.096781
2000-07-17	2.964339
2000-07-18	2.872953
2000-07-19	2.650688
2000-07-20	2.570714
2000-07-21	2.287425
2000-07-24	2.495077
2000-07-25	2.880392
2000-07-26	2.862463
2000-07-27	2.823220
2000-07-28	2.488813
2000-07-31	2.778948
2000-08-02	2.753639
2000-08-03	2.959441
2000-08-04	2.689464
2000-08-07	2.731352
2000-08-08	2.736656
2000-08-09	2.779089
2000-08-10	2.715623
2000-08-11	2.668584
2000-08-14	2.645733
2000-08-15	2.801272
2000-08-16	2.960926
2000-08-17	3.008602
2000-08-18	2.803256
2000-08-21	2.958205
2000-08-22	3.000476
2000-08-23	2.970702
2000-08-24	3.021340
2000-08-25	3.080585
2000-08-28	2.983180
2000-08-29	2.722238
2000-08-30	2.961515
2000-08-31	3.125945
2000-09-01	3.009264
2000-09-04	3.094728
2000-09-05	3.265351
2000-09-06	3.365626
2000-09-07	3.215611
2000-09-08	3.207000
2000-09-11	3.075882
2000-09-12	2.979792
2000-09-13	2.851569
2000-09-14	2.890535
2000-09-15	2.609503
2000-09-18	2.942735
2000-09-19	3.240348
2000-09-20	3.268523
2000-09-21	3.118732
2000-09-22	3.380095
2000-09-25	3.229039
2000-09-26	3.143478
2000-09-27	3.064959
2000-09-28	3.029730
2000-09-29	2.991287
2000-10-02	2.710021
2000-10-03	2.985408
2000-10-04	2.896550
2000-10-05	2.987202
2000-10-06	3.029614
2000-10-09	2.932818
2000-10-10	3.147484
2000-10-11	3.074480
2000-10-12	3.176886
2000-10-13	2.962432
2000-10-16	2.984742
2000-10-17	2.572793
2000-10-18	2.049932
2000-10-19	2.358518
2000-10-20	3.044574
2000-10-23	3.075191
2000-10-24	3.030728
2000-10-25	2.883895
2000-10-26	2.744303
2000-10-27	2.675780
2000-10-30	2.800372
2000-10-31	2.967391
2000-11-01	3.115234
2000-11-02	3.199311
2000-11-03	3.137184
2000-11-06	2.960933
2000-11-07	2.938155
2000-11-08	2.879066
2000-11-09	2.948063
2000-11-10	2.783380
2000-11-13	3.098597
2000-11-14	3.001945
2000-11-15	3.004407
2000-11-16	2.897852
2000-11-17	3.031109
2000-11-20	3.035787
2000-11-21	3.043980
2000-11-22	3.057191
2000-11-23	3.153281
2000-11-24	3.018908
2000-11-27	2.950608
2000-11-28	2.769739
2000-11-29	2.863072
2000-11-30	2.955805
2000-12-01	2.896781
2000-12-04	3.023895
2000-12-05	3.009965
2000-12-06	3.152278
2000-12-07	3.118509
2000-12-08	2.947058
2000-12-11	2.977151
2000-12-12	3.002883
2000-12-13	3.050913
2000-12-14	2.969703
2000-12-15	2.995336
2000-12-18	3.095790
2000-12-19	3.189179
2000-12-20	3.425199
2000-12-21	3.343118
2000-12-22	3.558872
2000-12-27	3.512197
2000-12-28	3.567609
2000-12-29	3.490226
2001-01-03	3.271376
2001-01-04	3.267585
2001-01-05	3.433904
2001-01-08	3.387282
2001-01-09	3.519116
2001-01-10	3.349274
2001-01-11	3.261308
2001-01-12	3.317932
2001-01-15	3.359234
2001-01-16	3.353137
2001-01-17	3.057299
2001-01-18	3.044714
2001-01-19	3.250342
2001-01-22	3.338446
2001-01-23	3.454585
2001-01-24	3.362189
2001-01-25	3.328047
2001-01-26	3.110830
2001-01-29	3.223780
2001-01-30	3.302379
2001-01-31	3.308556
